CustomerID,Recency,Frequency,Monetary,Quantity,StockCode,Country,AverageOrderValue,TotalPurchases,Cluster,Segment
C10001,117,3,22885.809999999998,63,8,India,7628.603333333333,3,3,Champions
C10003,33,1,12061.04,10,3,United Kingdom,12061.04,1,0,Potential Loyalists
C10004,40,2,10579.97,16,5,United Kingdom,5289.985,2,0,Potential Loyalists
C10005,297,2,14154.57,17,7,Germany,7077.285,2,1,At-Risk Customers
C10006,31,3,27389.290000000005,27,8,India,9129.763333333334,3,3,Champions
C10007,74,4,18247.42,28,8,Netherlands,4561.855,4,3,Champions
C10008,8,3,15488.699999999999,29,7,United Kingdom,5162.9,3,0,Potential Loyalists
C10009,192,2,9138.4,13,6,United Kingdom,4569.2,2,1,At-Risk Customers
C10010,110,2,8610.83,19,3,United Kingdom,4305.415,2,1,At-Risk Customers
C10011,101,1,706.78,1,1,United Kingdom,706.78,1,2,Inactive / Lost
C10012,224,1,9485.27,14,6,United Kingdom,9485.27,1,1,At-Risk Customers
C10014,76,2,44386.66,68,12,United Kingdom,22193.33,2,3,Champions
C10015,24,3,27418.48,32,10,India,9139.493333333334,3,3,Champions
C10016,152,2,6347.87,4,3,United Kingdom,3173.935,2,1,At-Risk Customers
C10017,19,1,2901.65,7,3,United Kingdom,2901.65,1,0,Potential Loyalists
C10018,92,1,8604.92,5,2,India,8604.92,1,1,At-Risk Customers
C10021,131,2,15502.15,18,6,France,7751.075,2,1,At-Risk Customers
C10023,212,3,16624.32,41,9,United Kingdom,5541.44,3,3,Champions
C10025,136,3,15472.8,14,6,Australia,5157.599999999999,3,3,Champions
C10027,58,2,38387.14,26,3,United Kingdom,19193.57,2,3,Champions
C10028,4,5,21765.78,27,11,United Kingdom,4353.156,5,3,Champions
C10029,161,1,3399.69,13,2,EIRE,3399.69,1,2,Inactive / Lost
C10030,248,1,5671.55,13,5,India,5671.55,1,2,Inactive / Lost
C10031,285,1,35387.29,32,4,France,35387.29,1,1,At-Risk Customers
C10032,61,2,21031.96,39,6,Germany,10515.98,2,1,At-Risk Customers
C10033,16,1,3152.19,3,3,United Kingdom,3152.19,1,0,Potential Loyalists
C10035,226,2,11499.62,22,4,United Kingdom,5749.81,2,1,At-Risk Customers
C10036,303,1,14067.069999999998,18,4,United Kingdom,14067.069999999998,1,1,At-Risk Customers
C10038,40,1,3600.58,2,1,India,3600.58,1,2,Inactive / Lost
C10039,30,2,10287.849999999999,19,6,Netherlands,5143.924999999999,2,0,Potential Loyalists
C10041,57,2,10991.81,20,7,India,5495.905,2,1,At-Risk Customers
C10042,171,3,6080.18,9,5,United Kingdom,2026.7266666666667,3,1,At-Risk Customers
C10043,185,2,9670.71,12,7,United Kingdom,4835.355,2,1,At-Risk Customers
C10044,218,2,11581.619999999999,13,6,United Kingdom,5790.8099999999995,2,1,At-Risk Customers
C10045,184,3,11177.9,20,7,United Kingdom,3725.9666666666667,3,3,Champions
C10046,273,4,33107.76,46,9,United Kingdom,8276.94,4,3,Champions
C10047,192,2,9296.14,14,4,United Kingdom,4648.07,2,1,At-Risk Customers
C10048,303,1,24667.88,31,5,United Kingdom,24667.88,1,1,At-Risk Customers
C10049,286,1,13512.23,9,3,India,13512.23,1,1,At-Risk Customers
C10050,273,2,4796.66,7,3,United Kingdom,2398.33,2,1,At-Risk Customers
C10051,20,1,7838.55,12,5,United Kingdom,7838.55,1,0,Potential Loyalists
C10054,196,1,6096.74,7,3,Portugal,6096.74,1,1,At-Risk Customers
C10055,263,1,3144.7200000000003,7,2,India,3144.7200000000003,1,2,Inactive / Lost
C10056,167,2,4359.58,11,4,India,2179.79,2,1,At-Risk Customers
C10057,11,1,1581.78,3,1,United Kingdom,1581.78,1,0,Potential Loyalists
C10058,282,1,3577.16,2,1,Germany,3577.16,1,2,Inactive / Lost
C10059,105,2,13689.19,14,4,United Kingdom,6844.595,2,1,At-Risk Customers
C10060,249,1,13548.21,18,8,United Kingdom,13548.21,1,1,At-Risk Customers
C10061,270,1,7213.26,6,2,Canada,7213.26,1,1,At-Risk Customers
C10062,69,4,32858.71,59,10,India,8214.6775,4,3,Champions
C10063,182,3,27891.769999999997,40,10,United Kingdom,9297.256666666666,3,3,Champions
C10064,136,3,35659.37,43,11,India,11886.456666666667,3,3,Champions
C10066,11,2,30582.429999999997,16,4,France,15291.214999999998,2,0,Potential Loyalists
C10067,162,1,7914.46,13,2,United Kingdom,7914.46,1,1,At-Risk Customers
C10068,14,1,8119.380000000001,6,2,United Kingdom,8119.380000000001,1,0,Potential Loyalists
C10070,62,2,9674.630000000001,14,5,United Kingdom,4837.3150000000005,2,1,At-Risk Customers
C10071,74,1,6065.3,7,2,United Kingdom,6065.3,1,1,At-Risk Customers
